ISO_639,Language_Name,Print_Name,In_Script,Romanization
apm,"Apache, Mescalero-Chiricahua",Ndé bizaa,,
apn,Apinagé,Panhĩ kapẽr,,
app,Apma,Apma,,
app,Apma,Dalekte,,
aps,Orop,Orop,,
apw,"Apache, Western",Nḏēē biyáti',,
apw,"Apache, Western",Nṉēē biyáti',,
apz,Safeyoka,Ampeeli,,
arb,"Arabic, Standard",العربية,T,al-ʻArabīyah
are,"Arrarnta, Western",Arrente,,
arg,Aragonese,aragonés,,
arh,Arhuaco,Iku,,
arl,Arabela,Tapueyocuaca,,
arn,Mapudungun,Mapudungun,,
arp,Arapaho,Hinónoʼeitíít,,
arq,"Arabic, Algerian"," العامية",T,El'aamia
arq,"Arabic, Algerian",اللهجة الجزائرية,T,Lahja Djazairia
ars,"Arabic, Najdi",نجدي,T,Najdi
arw,Arawak,Lokono Dian,,
ary,"Arabic, Moroccan",الدارجة,T,Darija
arz,"Arabic, Egyptian",عامي,T,Ammi
arz,"Arabic, Egyptian",مصري,T,Masri
asg,Cishingini,Cishingini,,
asj,Sari,Sari,,
asm,Assamese,অসমীয়া,T,Ôxômiya
ast,Asturian,Asturianu,,
ast,Asturian,Bable,,
asu,"Asurini, Tocantins",Asuriní,,
asy,"Asmat, Yaosakor",Asmat,,
ata,Pele-Ata,Ata,,
atb,Zaiwa,Zaiwâ,,
atd,"Manobo, Ata",Minanobo,,
atg,Ivbie North-Okpela-Arhe,Okphela,,
ati,Attié,-Atshe,,
atj,Atikamekw,Atikamekw Nehiromowin,,
atj,Atikamekw,Atikamekw,,
att,"Atta, Pamplona",Atta,,
atu,Reel,Thuɔk ë Rëël,,
atv,"Altai, Northern",Алтай тили,T,Altay tili
aty,Aneityum,Anejom̃,,
auc,Waorani,Wao Tededö,,
aui,Anuki,Anuki,,
auk,Heiyoho,Heiyoho,,
aun,"One, Molmo",One,,
auu,Auye,Auye,,
auy,Awiyaana,Awiyaana,,
ava,Avar,Авар мацӏ,T,Avar maⱬ
ava,Avar,Магӏарул мацӏ,T,Maⱨarul maⱬ
avi,Avikam,Avikam,,
avl,"Arabic, Eastern Egyptian Bedawi",بدوي,T,Badawi
avn,Avatime,Sideme,,
avt,Au,Au,,
avu,Avokaya,Ãvõkáyã,,
awa,Awadhi,अवधी,T,Awadhi
awb,Awa,Ahwa,,
awk,Awabakal,Awabakalkoba,,
awn,Awngi,አውጚ,T,Awŋi
awo,Awak,Yěbù,,
axk,Yaka,Yaâkâ,,
ayb,"Gbe, Ayizo",Ayizo Gbe,,
ayl,"Arabic, Libyan",ليبي,T,Lībi
ayn,"Arabic, Sanaani",يمني,T,Yamani
ayp,"Arabic, North Mesopotamian",مصلاوي,T,Maslawi
ayq,Ayi,Ayi,,
ayr,"Aymara, Central",Aymar aru,,
ayr,"Aymara, Central",Aymar,,
ayz,Mai Brat,Mai Brat,,
azb,"Azerbaijani, South",آذربایجان دیلی,T,Azərbaycan dili
azb,"Azerbaijani, South",آذربایجانجا,T,Azərbaycanca
azd,"Nahuatl, Eastern Durango",Meshikan de San Pedro Shikora,,
azg,"Amuzgo, San Pedro Amuzgos",Jnꞌoon,,
azj,"Azerbaijani, North",Azərbaycan dili,,
azj,"Azerbaijani, North",Azərbaycanca,,
azm,"Amuzgo, Ipalapa",Jñunda,,
azn,"Nahuatl, Western Durango",Meshikan de San Agustin Buenaventura y de Santa Cruz,,
azo,Awing,Mbɨ̂wiŋə,,
bag,Tuki,Tukí,,
bak,Bashkort,Башҡорт теле,T,Başqort tele
bak,Bashkort,Башҡортса,T,Başqortsa
bam,Bamanankan,Bamanankan,,
ban,Bali,Basa Bali,,
bao,Waimaha,Waimaja,,
bap,Bantawa,बान्तावा,T,bantawa
bar,Bavarian,Boarisch,,
bas,Basaa,Hɔp ɓasàa,,
bav,Vengo,Ghaŋ Vəŋoo,,
bax,Bamun,Shüpamom,,
bba,Baatonum,Baatɔnum,,
bbb,Barai,Barai,,
bbc,Batak Toba,Batta,,
bbd,Fulumu,Fulumu,,
bbj,Ghomálá',Ghomálá',,
bbk,Babanki,Gaʼa-Kejom,,
bbo,Konabéré,Kʋnabɩrɩ,,
bbq,Chopechop,Chɔpəchɔp,,
bbv,Karnai,Karnai,,
bbw,Supapya,Súpǎpyāˀ,,
bca,"Bai, Central",Baip‧ngvp‧zix,,
bcc,"Balochi, Southern",Balóchi,,
bcc,"Balochi, Southern",بلوچی,T,Balochi
bcf,Bamu,Bamu Owera,,
bch,Bariai,Bariai,,
bci,Baoulé,Wawle,,
bcl,"Bikol, Central",Bikol,,
bcm,Bannoni,Tsunari,,
bcn,Bali,Abaali,,
bcn,Bali,Maya,,
bco,Kaluli,Kaluli,,
bcq,Bench,Benc’non,T,
bcr,Babine,Nedut'en,,
bcs,Hohumono,Hohumono,,
bcu,Awad Bing,Awad Bing,,
bcw,Bana,kwəma ka bana,,
bda,Bayot,Jola Bayote,,
bdd,Bunama,Bunama,,
bde,Bade,Gabaden,,
bdg,Bonggi,Uubm Bonggi,,
bdh,Baka,Tara Baká,,
bdm,Buduma,Yedǝnami,,
bdp,Bende,Sibhēnde,,
bdq,Bahnar,Bahnar,,
bdr,"Bajau, West Coast",Sama,,
bds,Burunge,Burungaisoo,,
bdt,Bhogoto,Bhogoto,,
bdu,Oroko,Oroko,,
bdv,Bodo Parja,ବଡ଼ ପରଜା,T,Bodo Parja
bea,Beaver,Danezaa ZaageɁ,T,Danezaa Zaage
beb,Bebele,NULL,,
bec,Iceve-Maci,Iceve,,
beh,Biali,Byali,,
bej,Bedawiyet,Bidhaawyeet,,
bej,Bedawiyet,Tubdhaawi,,
bej,Bedawiyet,بجاوية,T,Bidhaawyeet
bej,Bedawiyet,تُبڈاوِ,T,Tubdhaawi
bel,Belarusian,беларуская мова,T,Biełaruskaja mova
bem,Bemba,IciBemba,,
ben,Bengali,বাংলা,T,Bangla
beo,Bedamuni,Bedamuni,,
bep,Behoa,básá Behóá,,
beq,Beembe,Kibeembe,,
bet,"Bété, Guiberoua",ʼbhɛtɩgbʋ ʼmö,,
bev,"Bété, Daloa","""Bhɛtɩ Gbʋ",,
bew,Betawi,Betawi,,
bex,Jur Modo,Mödö,,
bez,Bena,Kibena,,
bfa,Bari,Bari,,
bfb,"Bareli, Pauri",बारेला पावरी,T,Bārēlā pāvarī
bfd,Bafut,Bɨfɨɨ̀,,
bfh,Blafe,Mblafe,,
bfh,Blafe,Ránmo,,
bfj,Chufie',Chufie',,
bfm,Mmen,Ewâmnèə Mə̂yn,,
bfo,"Birifor, Malba",Bɩrfʋɔr,,
bfq,Badaga,Badaga,,
bfq,Badaga,ಬಡಗ,T,Badaga
bfs,"Bai, Southern",Baip‧ngvp‧zix,,
bft,Balti,بلتی,T,Baltī
bfy,Bagheli,बघेली,T,Bagheli
bgc,Haryanvi,हरियाणवी,T,Hariyāṇvī
bgd,"Bareli, Rathwi",बरेली,T,Bareli
bgg,Bugun,Bugun,,
bgj,Mendenkye,Məndəŋkyɛ,,
bgn,"Balochi, Western",بلوچی,T,Balochi
bgp,"Balochi, Eastern",بلوچی,T,Balochi
bgq,Bagri,बागड़ी,T,Bagri
bgr,"Chin, Bawm",Bawm hawlh,,
bgs,Tagabawa,Tagabawà,,
bgw,Bhatri,भतरी,T,Bhatri
bgx,Balkan Gagauz Turkish,Rumeli Türkçesi,,
bhb,Bhili,भीली,T,Bhīlī
bhd,Bhadrawahi,भद्रवाही,T,Bhadrawahi
bhg,Binandere,Binandere,,
bhj,Bahing,बाहिङ,T,bahing
bhl,Bimin,Bimin,,
bho,Bhojpuri,भोजपुरी,T,Bhōjpurī
bhp,Bima,Nggahi Mbojo,,
bhr,"Malagasy, Bara",Bara Malagasy,,
bhs,Buwal,Ma Buwal,,
bht,Bhattiyali,भटियाली,T,Bhaṭiyālī
bhw,Biak,Wós Kovedi,,
bhw,Biak,Wós Vyak,,
bhz,Bada,Bádá',,
bib,Bisa,Bɩsa,,
bid,Bidiyo,Bidiya,,
big,Biangai,Biangai,,
bim,Bimoba,Mɔɔr,,
bin,Edo,Edo,,
bip,Bila,NULL,,
bis,Bislama,Bislama,,
biu,Biate,Biate,,
biv,"Birifor, Southern",Birfoɔr,,
biw,Kol,Bòkól,,
bja,Budja,Budja,,
bjg,Bijagó,Kajoukou,,
bjh,Bahinemo,Bahinemo,,
bji,Burji,Dhaashate,,
bjj,Kanauji,देहाती,T,Dehati
bjk,Barok,Barok,,
bjn,Banjar,Bahasa Banjar,,
bjn,Banjar,بنجر,T,Banjar
bjp,Fanamaket,Fanamaket,,
bjr,Binumarien,Afaqinna ufa,,
bjv,Bedjond,Bedjond,,
bjv,Bedjond,Nangnda,,
bjw,Bakwé,Bakʋɛwii,,
bjz,Baruga,Baruga,,
bkc,Baka,Baka,,
bkd,Binukid,Binukid,,
bkh,Bakoko,Bakoko,,
bki,Baki,Baki,,
bkl,Berik,Berik,,
bkm,Kom,Itangikom,,
bkq,Bakairí,Kurâ,,
bkt,Boloki,Boloki,,
bkv,Bekwarra,Ebekwara,,
bkw,Bekwel,Bɛkwyel,,
bkx,Baikeno,Baikeno,,
bkx,Baikeno,Uab Metô,,
bla,Blackfoot,Siksiká,,
blb,Bilua,Bilua,,
ble,Balanta,Fraase,,
blf,Buol,Apadu Vuolo,,
bli,Bolia,Lolia,,
blk,Pa'o,ပအိုဝ်,T,Pa-O
blk,Pa'o,ပအိုဝ်ႏခမ်းသား,T,Pa-O Kham Thar
blm,Beli,'Bëlї,,
blo,Anii,Anii,,
blt,Tai Dam,ꞌTáy Ðăm,,
blt,Tai Dam,ꞌTáy,,
blw,Balangao,Finarangaw,,
blx,"Ayta, Mag-Indi",Ayta Mag-Indi,,
blz,Balantak,Wurung Balantak,,
bmb,Bembe,Ebembe,,
bmi,Bagirmi,Barma,,
bmj,Bote,बोटे,T,bote
bmk,Ghayavi,Ghayavi,,
bmm,"Malagasy, Northern Betsimisaraka",Betsimisaraka,,
bmo,Chrambo,Chrambo,,
bmq,Bomu,Boomu,,
bmr,Muinane,Muinane,,
bmu,Somba-Siawari,Somba Siawari,,
bmv,Bum,Bûmì,,
bng,Benga,Benga,,
bni,Bangi,Bobangi,,
bnm,Batanga,Batanga,,
bnn,Bunun,Bunun,,
bno,Bantoanon,Asi,,
bno,Bantoanon,Bantoanon,,
bnp,Bola,Bola-Bakovi,,
bns,Bundeli,बुन्देली,T,Bundeli
bnw,Bisis,Bises,,
boa,Bora,Miamunaa,,
bob,Aweer,Af Aweera,,
bod,"Tibetan, Central",བོད་ཡིག།,T,bod.yig
bod,"Tibetan, Central",བོད་སྐད།,T,bod.skad
boj,Anjam,Anjam,,
bom,Berom,Cèn Bèrom,,
bon,Bine,Bine,,
bor,Borôro,Boe Wadáru,,
bos,Bosnian,Bosanski jezik,T,
bot,Bongo,Ndüü Böngö,,
bov,Tuwuli,Tuwuli,,
box,Buamu,Buamu,,
boz,"Bozo, Tieyaxo",Tigemaxoo,,
bpa,Daakaka,Daakaka,,
bpe,Bauni,Bauni,,
bpj,Bindji,Kibindji,,
bpj,Bindji,Kimbahani,,
bpp,Kaure,Kaure,,
bpr,"Blaan, Koronadal",Koronadal B'laan,,
bps,"Blaan, Sarangani",Blaan,,
bqc,Boko,Bòó,,
bqg,Bago-Kusuntu,Bagó,,
bqg,Bago-Kusuntu,Kusuńtú,,
bqi,Bakhtiâri,بختیاری,T,Bakhtiâri
bqj,Bandial,Gubanjalay,,
bqj,Bandial,Gújjolaay Eegimaa,,
bqp,Bisã,Bisã,,
bqt,Mankong,Achab a Maŋkɔ̧,,
bqz,Bakaka,Mkaaʾ,,
bra,Braj Bhasha,ब्रज भाषा,T,Braj Bhāshā
bre,Breton,Brezhoneg,,
brf,Bira,Kibira,,
brh,Brahui,براہوئی,T,brāhūʾī
bri,Mokpwe,Mòkpè,,
brq,Breri,Bnyoqko,,
bru,"Bru, Eastern",ບຣູ້,T,Brũ
brv,"Bru, Western",บรู,T,Bru
brx,Boro,बोडो भाषा,T,boḍo bʰāṣā
brx,Boro,बोडो,T,boḍo
brz,Bilbil,Bel,,
bsc,Oniyan,Oniyan,,
bse,Wushi,NULL,,
bsh,Kateviri,کته,T,Kati
bsj,Bangwinji,Bangjinge,,
bsk,Burushaski,Burushaski,,
bsk,Burushaski,بروشسکی,T,Burushaski
bsn,Barasana-Eduria,Jãnerã-Eduria Oca,,
bsq,Bassa,Ɓǎsɔ́ɔ̀,,
bss,Akoose,Akɔ́ɔ̄sē,,
bst,Basketo,ባስኬ፟ት,T,Basəke፟tə
btg,"Bété, Gagnoa",Bhete,,
bts,Batak Simalungun,Sahap Simalungun,,
btx,Batak Karo,cakap Karo,,
buc,Bushi,Kibushi,,
bud,Ntcham,Baasaar sooŋyi,,
bud,Ntcham,Ncam,,
bug,Bugis,Basa Ugi,,
buk,Bugawac,Bugawac,,
bul,Bulgarian,български език,T,bălgarski ezik
bum,Bulu,Bulu,,
buo,Terei,Puuiŋ,,
buo,Terei,Terei,,
bus,Bokobaru,Zogben,,
buu,Budu,Ɨbʉdʉ,,
buu,Budu,ɨbʉdhʉ,,
bva,Barein,Barayin,,
bvb,Bube,Böbë,,
bvd,Baeggu,Baeggu,,
bvi,Belanda Viri,Vï̃rï,,
bvm,Ngiemekohke,Ŋgieməkɔʼkə,,
bvr,Burarra,Burarra,,
bvz,Bauzi,Bauzi,,
bwd,Bwaidoka,Bwaidoka,,
bwj,"Bwamu, Láá Láá",Làa làa Bũamu,,
bwo,Borna,Borni,,
bwq,"Bobo Madaré, Southern",Boboda,,
bwu,Buli,Buli,,
bxb,Belanda Bor,Di Bor,,
bxf,Minigir,Minigir,,
bxg,Bangala,Bangala,,
bxh,Buhutu,Buhutu alinadi,,
bxh,Buhutu,Buhutu,,
bxk,Bukusu,Lubukusu,,
bxr,"Buriat, Russia",буряад хэлэн,T,buryaad xelen
bya,Batak,Batak,,
bye,Pouye,Pouye,,
byh,Bhujel,भुजेल,T,bhujel
byn,Bilen,Blin,,
byn,Bilen,ብሊን,T,Blin
byr,Yipma,Yɨꞌmayagaala,,
bys,Burak,nyuwa Ɓuurak,,
bys,Burak,Ɓuurak,,
byv,Medumba,Medumba,,
byx,Qaqet,Qaqet,,
byz,Waran,Waran,,
bza,Bandi,Bandí,,
bzb,Andio,Andio,,
bzd,Bribri,Bribri,,
bze,"Bozo, Jenaama",Jɛnaama,,
bzf,Boikin,Yangoru,,
bzh,"Buang, Central",Veriinġ Ayej,,
bzh,"Buang, Central",Veriinġ,,
bzi,Bisu,บี่ซู่,T,Bisu
bzj,Belize English Creole,Bileez Kriol,,
bzk,Nicaragua English Creole,Creole,,
bzv,Naami,Naami,,
bzw,Basa,Rubassa,,
cab,Garifuna,Garífuna,,
cac,Chuj,Koti',,
cae,Laalaa,Kelaalaa,,
caf,"Carrier, Southern",Dakelh,,
cag,Nivaclé,Guisnai,,
cak,Kaqchikel,Kaqchikel,,
cal,Carolinian,Refalúwasch,,
cam,Cemuhî,Cemuhî,,
cap,Chipaya,Chipaya,,
caq,"Nicobarese, Car",Pû,,
car,Carib,Karìna auran,,
cat,Catalan,Català,,
cay,Cayuga,Gayogo̱hó:nǫ',,
cbc,Carapana,Carapana,,
cbi,Chachi,Cha'Palaa,,
cbk,Chavacano,Chavacano,,
cbl,"Chin, Bualkhaw",Bualkhaw Chin,,
cbn,Nyahkur,ญัฮกุ้ร,T,Nyah Kur
cbn,Nyahkur,เนียะกวล,T,Niakuol
cbr,Kakataibo-Kashibo,Kakataibo-Kashibo,,
cbs,Kashinawa,Hãtxa Kuī,,
cbt,Shawi,Shahui,,
cbu,Kandozi-Chapra,Kadoazi koko,,
ccc,Chamicuro,Chamekolo,,
cce,Chopi,Chichopi,,
ccg,Samba Daka,Sama Mum,,
cco,"Chinantec, Comaltepec",Jmíiˊ,,
ccp,Chakma,Changma Vaj,,
cdf,Chiru,चीरू,T,Cīrū
cdj,Churahi,चुराही,T,Kuraahi
cdm,Chepang,चेपाङ,T,chepang
cdm,Chepang,च्योःबाङ् भासा,T,cepaang bhaasaahaang
cdo,"Chinese, Min Dong",平話,T,Bangua
cdo,"Chinese, Min Dong",闽东话,T,Mindongyu
ceb,Cebuano,Binisaya,,
ceg,Chamacoco,Ɨshɨr ahwoso,,
cen,Ibaas,Ibaas,,
ces,Czech,Český jazyk,,
ces,Czech,Čeština,,
cey,"Chin, Läoktü",Läoktü,,
cfa,Cham,Cham,,
cfm,"Chin, Falam",Falam Chin,,
cgc,Kagayanen,Kagayanen,,
cgg,Chiga,Rukiga,,
cha,Chamorro,Chamorru,,
chd,"Chontal, Highland Oaxaca",Tsome,,
che,Chechen,Нохчийн мотт,T,Noxchiin mott
chf,"Chontal, Tabasco",Yocot'an,,
chj,"Chinantec, Ojitlán",Jmiih kia’ dzä ‘vï ï,,
chj,"Chinantec, Ojitlán",Jujmi,,
chk,Chuukese,Chuuk,,
chn,Chinook Wawa,Chinuk Wawa,,
cho,Choctaw,Chahta Anumpa,,
cho,Choctaw,Chahta,,
chp,Dene,Dënesųłıné,,
chq,"Chinantec, Quiotepec",juu jmiih,,
chr,Cherokee,Tsalagi,,
chr,Cherokee,ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ,T,Tsalagi Gawonihisdi
chu,"Slavonic, Church",Словѣньскъ,T,Slovyensk
chv,Chuvash,Чӑваш чӗлхи,T,Čăvaš čĕlȟi
chv,Chuvash,Чӑвашла,T,Čăvašla
chw,Chuwabu,Echuwabo,,
chx,Chantyal,छन्त्याल खाम,T,Chantyal Kham
chy,Cheyenne,Tsėhesenėstsestȯtse,,
chz,"Chinantec, Ozumacín",Jumi dsa mojai,,
chz,"Chinantec, Ozumacín",Juujmii,,
cia,Cia-Cia,Cia-Cia,,
ciw,Chippewa,Anishinaabemowin,,
cja,"Cham, Western",Chăm,,
cje,Chru,Chru,,
cjk,Chokwe,Cokwe,,
cjm,"Cham, Eastern",Chăm,,
cjo,"Ashéninka, Pajonal",Ashaninka,,
cjp,Cabécar,Cabécar,,
cjs,Shor,Тадар тили,T,Tadar tili
cjs,Shor,Шор тили,T,Šor tili
cjy,"Chinese, Jinyu",晋语,T,Jin
ckb,"Kurdish, Central",زمانی سۆرانی,T,zimanê soranî
ckm,Chakavian,Čakavski,,
ckn,"Chin, Kaang",Kaang Chin,,
cko,Anufo,Anufo,,
ckt,Chukchi,Ԓыгъоравэтԓьэн йиԓыйиԓ,T,Ḷygʺoravėtḷʹėn jiḷyjiḷ
cku,Koasati,Koasati,,
ckv,Kavalan,Kbalan,,
cla,Ron,Ron,,
clc,Chilcotin,Tŝinlhqot’in,,
cle,"Chinantec, Lealao",Fáh⁴jmii⁴²,,
clj,"Chin, Laitu",Laitu Chin,,
clk,Idu-Mishmi,Idu-Mishmi,,
clo,"Chontal, Lowland Oaxaca",Lajltyaygi,,
clt,"Chin, Lautu",Lautu Chin,,
clu,Caluyanun,Caluyanun,,
cme,Cerma,Cerma,,
cmi,Embera Chamí,Ẽbẽra bed̶ea,,
cmi,Embera Chamí,Ẽbẽra,,
cmn,"Chinese, Mandarin",普通话,T,Putonghua
cmo,"Mnong, Central",Bunong,,
cmo,"Mnong, Central",ឞូន៝ង,T,Bunong
cmr,Mro-Khimi,Khimi,,
cmr,Mro-Khimi,Mro-Khimi,,
cnb,"Chin, Uppu",Uppu Chin,,
cnb,"Chin, Uppu",Uppu,,
cnh,"Chin, Hakha",Lai Chin,,
cnh,"Chin, Hakha",Lai,,
cni,Asháninka,Asháninka,,
cnk,"Chin, Khumi",Khumi Chin,,
cnk,"Chin, Khumi",Khumi,,
cnl,"Chinantec, Lalana",ju²³jmii²³²,,
cnq,Chung,Chuŋ,,
cnr,Montenegrin,црногорски,T,Crnogorski
cnt,"Chinantec, Tepetotutla",Jajmi dzä kï ï’,,
cnt,"Chinantec, Tepetotutla",Jejmi,,
cnw,"Chin, Ngawn",Ngawn,,
coc,Cocopa,Kuapá,,
cod,Kukama-Kukamiria,Kokama-Kokamilla,,
coe,Koreguaje,Koʼrevajʉ chʉʼo,,
cof,Tsafiki,Tsafiki,,
cof,Tsafiki,Tsafiqui,,
cog,Chong,พะซาช์อง,T,pha sāch̒ xng
coh,Chichonyi-Chidzihana-Chikauma,Chichonyi-Chidzihana-Chikauma,,
cok,"Cora, Santa Teresa",Cuéimarusaꞌna,,
com,Comanche,Nʉmʉ Tekwapʉ,,
con,Cofán,A'ingae,,
cop,Coptic,ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ,T,timetremənkʰēmi
cor,Cornish,Kernewek,,
cos,Corsican,Corsu,,
cot,Caquinte,Aguenquetsatsare,,
cou,Wamey,Wameỹ,,
cpa,"Chinantec, Palantla",Jǿg³ jmei¹²,,
cpc,Ajyíninka Apurucayali,Ajyéninka,,
cra,Tsaara,Tsaara,,
crh,Crimean Tatar,Къырымтатар тили,T,Qırımtatar tili
crh,Crimean Tatar,Къырымтатарджа,T,Qırımtatarca
crh,Crimean Tatar,къырым тили,T,Qırım tili
cri,Sãotomense,Sãotomense,,
crj,"Cree, Southern East",Īnū Ayimūn,,
crj,"Cree, Southern East",ᐄᓅ ᐊᔨᒨᓐ,T,Īnū Ayimūn
crk,"Cree, Plains",Nēhiyawēwin,,
crk,"Cree, Plains",ᓀᐦᐃᔭᐍᐏᐣ,T,nēhiyawēwin
crl,"Cree, Northern East",Iyiyiw-Ayimiwin,,
